iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0003069	Sequencing		Sequencing assay	Sample											EUPATH_0000603
OBI_0100051	Sample type	string	Sample details	Sample								4	["mucus","Oral swab","sebum","Stool"]	["EMP_1928_HMP_V35.txt::sample_type","Ciara_V1V3.txt::sample_type","DailyBaby.txt::sample_type","PIH_Uganda.txt::sample_type","EMP_1927_HMP_V13.txt::sample_type","Resistome.txt::sample_type","NICUDischarge.txt::sample_type","DiabImmune.txt::sample_type","Malaysia_Helminth.txt::sample_type","StLouisNICU.txt::sample_type","MORDOR_metatranscriptome.txt::sample_type","Bangladesh_healthy_5yr.txt::sample_type","FARMM_metagenomics.txt::sample_type","EMP_10249_ECAM.txt::sample_type","EcoCF.txt::sample_type","MALED_healthy.txt::sample_type","UgandaMaternal.txt::Sample type","HMPWgs.txt::sample_type","BONUS.txt::sample_type","GEMS.txt::sample_type","MALED_diarrhea.txt::sample_type","NICUNEC.txt::sample_type"]	
OBI_0001891	Sequencing center	string	Sequencing	Sample	At which center were samples sequenced							4	["BCM","BI","JCVI","WUGSC"]	["EMP_1928_HMP_V35.txt::sequencecenter","EMP_1927_HMP_V13.txt::sequencecenter"]	
SO_0001000	Region of 16S rRNA sequenced	string	Sequencing	Sample								2	["V3-V5","V5-V3"]	["Ciara_V1V3.txt::region","MALED_diarrhea.txt::region","EcoCF.txt::region","PIH_Uganda.txt::region","Bangladesh_healthy_5yr.txt::region","GEMS.txt::region","EMP_1928_HMP_V35.txt::region","MALED_healthy.txt::region","EMP_10249_ECAM.txt::region","StLouisNICU.txt::region","DailyBaby.txt::region","EMP_1927_HMP_V13.txt::region"]	
UBERON_0000061	Host body site	string	Participant	Sample	name of body site where the sample was obtained from							15	["Buccal mucosa","Colon","External ear","Gingiva","Oral cavity","Palate","Palatine tonsil","Posterior fornix of vagina","Skin of elbos","Skin of nose","Throat","Tongue","Tooth","UBERON:central vagina","Vaginal introitusample_type"]	["EcoCF.txt::body_site","EMP_1927_HMP_V13.txt::body_site","MORDOR_metatranscriptome.txt::host_body_site","MALED_diarrhea.txt::body_site","NICUDischarge.txt::body_site","UgandaMaternal.txt::body_site","Malaysia_Helminth.txt::body_site","StLouisNICU.txt::body_site","PIH_Uganda.txt::body_site","Bangladesh_healthy_5yr.txt::body_site","DiabImmune.txt::body_site","MALED_healthy.txt::body_site","DailyBaby.txt::body_site","Resistome.txt::body_site","HMPWgs.txt::body_site","EMP_1928_HMP_V35.txt::body_site","NICUNEC.txt::body_site","Ciara_V1V3.txt::body_site","BONUS.txt::body_site","GEMS.txt::body_site","EMP_10249_ECAM.txt::body_site","FARMM_metagenomics.txt::host_body_site"]	
UBERON_0000463	Host body product	string	Participant	Sample	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA							6	["Feces","Mucus","Saliva","Sebum","Subgingival dental plaque","Supragingival dental plaque"]	["EMP_1927_HMP_V13.txt::body_product","GEMS.txt::body_product","NICUDischarge.txt::body_product","EMP_1928_HMP_V35.txt::body_product","EcoCF.txt::body_product","MALED_diarrhea.txt::body_product","EMP_10249_ECAM.txt::body_product","PIH_Uganda.txt::body_product","UgandaMaternal.txt::body_product","MORDOR_metatranscriptome.txt::host_body_product","DiabImmune.txt::body_product","MALED_healthy.txt::body_product","HMPWgs.txt::body_product","FARMM_metagenomics.txt::host_body_product","Resistome.txt::body_product","BONUS.txt::body_product","Bangladesh_healthy_5yr.txt::body_product","Malaysia_Helminth.txt::body_product","Ciara_V1V3.txt::body_product","StLouisNICU.txt::body_product","NICUNEC.txt::body_product","DailyBaby.txt::body_product"]	
UBERON_0000466	Host body habitat	string	Participant	Sample	original body habitat where the sample was obtained from							4	["Colon","Oral cavity","Skin","Vagina"]	["EMP_1927_HMP_V13.txt::body_habitat","Resistome.txt::body_habitat","NICUDischarge.txt::body_habitat","EcoCF.txt::body_habitat","UgandaMaternal.txt::body_habitat","BONUS.txt::body_habitat","NICUNEC.txt::body_habitat","FARMM_metagenomics.txt::body_habitat","GEMS.txt::body_habitat","HMPWgs.txt::body_habitat","PIH_Uganda.txt::body_habitat","Bangladesh_healthy_5yr.txt::body_habitat","StLouisNICU.txt::body_habitat","MALED_healthy.txt::body_habitat","Ciara_V1V3.txt::body_habitat","EMP_10249_ECAM.txt::body_habitat","EMP_1928_HMP_V35.txt::body_habitat","DailyBaby.txt::body_habitat","MALED_diarrhea.txt::body_habitat","Malaysia_Helminth.txt::body_habitat","DiabImmune.txt::body_habitat"]	
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V3-V5) assay											
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V3-V5) assay											
